,Tweet,ID,Length,Source,Favourites,Reweet_count,Timestamp,sentiment,popularity,sentimentValue
39,"RT @smitbeat64: Wallpaper for iOS16

Link 👉 https://t.co/vJEFJnEp5V

#Apple #wallpapers #iOS16 
#iPhone13ProMax #iPhone13Pro #iPhone13 #iPh…",1565960200380620805,140,Twitter for iPhone,0,5,2022-09-03 07:09:40+00:00,0,Neutral,0.0
40,"RT @appleinsider: Tips: A group of six people can share a single, unified photo library thanks to iCloud Shared Photo Library in iOS 16. He…",1565959874063634432,140,Twitter for iPhone,0,5,2022-09-03 07:08:22+00:00,1,Positive,0.0642857142857143
41,RT @whatsmyeta: With #iOS16 on our doorstep we're excited to open up a public beta to test out our awesome Lock Screen widgets. The TestFli…,1565958628426891264,140,Spring for Apple,0,6,2022-09-03 07:03:25+00:00,1,Positive,0.34375
42,"Wallpaper for iOS16

Link 👉 https://t.co/vJEFJnEp5V

#Apple #wallpapers #iOS16 
#iPhone13ProMax #iPhone13Pro… https://t.co/XDRyrr5pvh",1565956938134855681,133,Tweetbot for iΟS,10,5,2022-09-03 06:56:42+00:00,0,Neutral,0.0
43,RT @ronathan_janey: Apple really needs to provide us with a user manual every time we get an OS upgrade #iOS16 @Apple https://t.co/IdvEEZuH…,1565952636419211266,140,Twitter for iPhone,0,1,2022-09-03 06:39:37+00:00,1,Positive,0.2
44,RT @sel6012000: #Friday #Madrid #Innovation @kleinmone @Attairdu57slm @thewaytozion 🔥🔥🔥#LockScreen @6Lucifer00 @Dazednconfuzed4 @SolShulz30…,1565950902619541504,140,Twitter for iPhone,0,4,2022-09-03 06:32:43+00:00,0,Neutral,0.0
45,"RT @iphone14fans: #iOS16 Supported Devices: 
• #iPhone13
• iPhone 13 Pro
• iPhone 13 Pro Max
• iPhone 12 Pro Max
• iPhone 12 Pro
• #iPhone1…",1565950070415314944,140,Twitter for iPad,0,36,2022-09-03 06:29:25+00:00,0,Neutral,0.0
46,RT @iphone14fans: #iOS16 Beta will be introduced on the evening of June 6 at the #WWDC22 event. Follow us for a free profile. https://t.co/…,1565950050395918337,140,Twitter for iPad,0,7,2022-09-03 06:29:20+00:00,1,Positive,0.4
47,"#iPhone #iphone14 #iPhone14Pro #Iphone14ProMax #iphone14max
#AppleEvent #iOS #ios16 #ios16beta #apple https://t.co/sXdu4V0ce9",1565946729287000064,125,Twitter for Android,0,0,2022-09-03 06:16:08+00:00,0,Neutral,0.0
48,"My prediction is @Apple's ""Far Out"" hint is related to #Starlink compatibility. It could also be pulling double dut… https://t.co/XoHfj342CC",1565943206541410306,140,Twitter for iPhone,0,0,2022-09-03 06:02:08+00:00,1,Positive,0.03333333333333333
